Name: Горна Порта, Type: city_gate, Latitude: 41.1150206, Longitude: 20.7949057, Region: Southwestern Region
Name: Битката на Ѓурѓејца, Type: battlefield, Latitude: 41.4528994, Longitude: 20.9658462, Region: Vardar Region
Name: Споменик Св. Никола, Type: monument, Latitude: 41.8646892, Longitude: 21.942062, Region: Skopje Region
Name: Споменик „Лазар Колишевски“, Type: monument, Latitude: 41.8644645, Longitude: 21.9410121, Region: Skopje Region
Name: Св. Илија, Type: memorial, Latitude: 41.8627557, Longitude: 21.9386585, Region: Skopje Region
Name: Споменик на Никола Карев, Type: monument, Latitude: 41.9156602, Longitude: 22.412778, Region: Skopje Region
Name: Кире Гаврилоски-Јане / Круме Волнароски-Коља, Type: memorial, Latitude: 41.3464944, Longitude: 21.5629735, Region: Vardar Region
Name: Александар Македонски, Type: memorial, Latitude: 41.3421058, Longitude: 21.5572532, Region: Vardar Region
Name: Мирослав Јоксимовиќ, Type: memorial, Latitude: 41.3761727, Longitude: 21.2464617, Region: Vardar Region
Name: Кица Петрески, Type: monument, Latitude: 41.3653786, Longitude: 21.2488407, Region: Vardar Region
Name: VAM-304, Type: monument, Latitude: 41.8668125, Longitude: 21.6650899, Region: Skopje Region
Name: МАР-7712, Type: monument, Latitude: 41.4498577, Longitude: 22.6491133, Region: Eastern Region
Name: 1. Бригада, Type: memorial, Latitude: 41.366045, Longitude: 20.6489384, Region: Vardar Region
Name: Ослободителите на Скопје, Type: monument, Latitude: 41.9998632, Longitude: 21.4292436, Region: Skopje Region
Name: 08.12.1941, Type: memorial, Latitude: 41.3435127, Longitude: 21.5549177, Region: Vardar Region
Name: Вејце, Type: monument, Latitude: 42.0673767, Longitude: 20.9185104, Region: Polog Region
Name: Генерал Михаило Апостолски, Type: monument, Latitude: 41.9998618, Longitude: 21.4485415, Region: Skopje Region
Name: Генерал Михајло Апостолски, Type: memorial, Latitude: 41.9988251, Longitude: 21.4506665, Region: Skopje Region
Name: Krste Petkov Misirkov, Type: monument, Latitude: 41.9960184, Longitude: 21.4412009, Region: Skopje Region
Name: Blaže Koneski, Type: monument, Latitude: 41.9960802, Longitude: 21.4408764, Region: Skopje Region
Name: Sultana, Type: memorial, Latitude: 41.6560282, Longitude: 21.0216359, Region: Polog Region
Name: Xhemë Hasa, Type: memorial, Latitude: 41.7192252, Longitude: 20.881732, Region: Polog Region
Name: Albanian Mother, Type: memorial, Latitude: 41.5964956, Longitude: 20.9510739, Region: Polog Region
Name: Св. Георгиј, Type: wayside_shrine, Latitude: 41.0108476, Longitude: 21.3208996, Region: Southwestern Region
Name: Фаќач на чесниот крст, Type: monument, Latitude: 41.1119818, Longitude: 20.799333, Region: Southwestern Region
Name: Павел Шатев, Type: monument, Latitude: 41.9945304, Longitude: 21.4326511, Region: Skopje Region
Name: Невена Георгиева-Дуња, Type: memorial, Latitude: 41.993726, Longitude: 21.4332709, Region: Skopje Region
Name: Ѓоко Лазаревски, Type: monument, Latitude: 42.0640097, Longitude: 21.0288552, Region: Skopje Region
Name: Теодорит, Type: tomb, Latitude: 42.0700178, Longitude: 21.027212, Region: Skopje Region
Name: Кирил Пејчиновиќ-Тетоец, Type: tomb, Latitude: 42.0669654, Longitude: 21.0282911, Region: Skopje Region
Name: Загинати Лешочани во војните 1903-2001, Type: monument, Latitude: 42.0668701, Longitude: 21.0285176, Region: Skopje Region
Name: Нада Филева, Type: memorial, Latitude: 41.1141534, Longitude: 20.798276, Region: Southwestern Region
Name: Dane kraptzew, Type: memorial, Latitude: 42.0043082, Longitude: 21.4185013, Region: Skopje Region
Name: Атентат на Киро Глигоров, Type: memorial, Latitude: 41.9918182, Longitude: 21.4296159, Region: Skopje Region
Name: Св. Петка, Type: wayside_shrine, Latitude: 41.3643261, Longitude: 21.6070578, Region: Vardar Region
Name: Ф-86Е, Type: aircraft, Latitude: 41.018858, Longitude: 21.3293819, Region: Southwestern Region
Name: Ф-86Д, Type: aircraft, Latitude: 41.0186718, Longitude: 21.3292773, Region: Southwestern Region
Name: Браќата Просветители Св. Кирил и Методиј, Type: monument, Latitude: 41.9135927, Longitude: 22.4105061, Region: Skopje Region
Name: Љупчо Сантов, Type: monument, Latitude: 41.9143473, Longitude: 22.410612, Region: Skopje Region
Name: Братска гробница, Type: tomb, Latitude: 41.204511, Longitude: 21.4572557, Region: Vardar Region
Name: Сухои Су-25УБ, Type: aircraft, Latitude: 41.9755167, Longitude: 21.6216919, Region: Skopje Region
Name: Сухои Су-25К, Type: aircraft, Latitude: 41.9754577, Longitude: 21.6219516, Region: Skopje Region
Name: Сухои Су-25К, Type: aircraft, Latitude: 41.9753556, Longitude: 21.6221983, Region: Skopje Region
Name: Сухои Су-25К, Type: aircraft, Latitude: 41.975287, Longitude: 21.6224322, Region: Skopje Region
Name: Игуменија Катерина, Type: tomb, Latitude: 41.4286415, Longitude: 21.6200758, Region: Vardar Region
Name: Naim Frasheri, Type: monument, Latitude: 41.8781835, Longitude: 20.8876605, Region: Polog Region
Name: Naser Ademi, Type: monument, Latitude: 41.878351, Longitude: 20.8835051, Region: Polog Region
Name: Deshmoret e Ushtrise Clirimtare Kombetare, Type: monument, Latitude: 41.8782156, Longitude: 20.883467, Region: Polog Region
